Материал, Количество, Цена за еденицу, Сумма, USD
Изготовление коннекторов,,,3950000,250
Проезд и связь,,,800000,51
Чертежи каркаса,деталировка,,1600000,101
пластины на сваи, 300*300мм 12 шт, 35 тыс штука,420000,27
анкера для свай,21 штука, 10 тыс штука, 210000,13
сверление и оцинковка пластина на сваи,,,1000000,63
цепная пила на прокат,,,300000,19
Пропитка для бруса,10 литров,800000,51
Брус,40 метров 200*200,90тыс за метр,3600000,227
балки 200*100, 50 метров,35 тыс метр,1750000,110
Доставка бруса и балок,130км один рейс,5тыс за км,650000,41
Уголки для балок,16 штук,30 тыс штука,480000,30
пластины для бруса 20 штук, 30тыс штука,600тыс,38
40 шт вставки для балок,40 шт, 50 тыс штука,2000000,126
болты для бруса,,,800000,50
Работы по монтажу бруса и балок, 2 чел по 16 часов, 60 тыс час,1920000,121
Работа по заливке фундамента,2500000,158
Организационные расходы,,,55300000,350
Чертежи на кровлю,,,1600000,101
Общий минимальный расход на август,,,30 500 000,1927
Курс USD на август,,,,15800
