группа,задача,кол-во,ед. изм.,"план, $"
Окна санузел,сделать откосы на окнах,1,шт,"68,4"
Окна санузел,установить подоконник,1,шт,"31,8"
Окна санузел,монтаж окон,1,шт,312
Электричество,проложить кабель в доме ,30,м,"48,6"
Электричество,установить розетки и выключатели,6,шт,"33,48"
Электричество,монтаж вентилятора,1,шт,84
Электричество,установить светильники,5,шт,135
Водопровод,установить раковину на кухне,1,шт,"110,4"
Кровля дома,закрепить верхний слой кровли дома,70,м2,1890
Кровля дома,закрепить отливы на доме,21,м,"239,4"
Кровля веранды,закрепить верхний слой кровли веранды,35,м2,945
Кровля веранды,закрепить отливы на веранде,15,м,171
Второй этаж,смонтировать мембрану,10,м2,"24,6"
Второй этаж,уложить стружку на второй этаж,"2,5",м3,"27,9"
Второй этаж,уложить сухой песок на второй этаж,"1,5",м3,"35,1"
Второй этаж,подшить потолок вагонкой,10,м2,198
Второй этаж,шлифовка каркаса,40,м,"122,4"
Второй этаж,уложить пол  второго этажа,10,м2,240
Санузел,установить бойлер,1,шт,438
Санузел,установить стиральную машину,1,шт,"399,6"
Санузел,душевой уголок,1,шт,522
Первый этаж,смонтировать утеплитель,6,м3,"777,6"
Первый этаж,смонтировать мембрану пола первого этажа,30,м2,"73,8"
Первый этаж,смонтировать чистовой пол первого этажа,30,м2,720
Первый этаж,смонтировать подшивку из фанеры,30,м2,414
Первый этаж,зашить подпольное простанство дома,12,м2,"103,68"
Веранда,Шлифовка пола,30,м2,"111,6"
Веранда,Шлифовка каркаса,40,м,"122,4"
Веранда,Пропитка пола и каркаса,50,м2,"79,8"
Веранда,обшить имитацией веранду,8,м2,"137,28"
Веранда,зашить подпольное простанство,10,м2,"86,4"
Купол дома,смонтировать утеплитель в куполе,9,м3,"1166,4"
Купол дома,смонтировать внутренюю мембрану в куполе,60,м2,"147,6"
Купол дома,смонтировать обрешотку в куполе,120,м,"479,52"
Купол дома,обшить гипсокартоном,60,м2,"583,2"
Купол дома,прогрунтовать гипсокартон,60,м2,"398,88"
Купол дома,покрыть гипсокартон белой краской,60,м2,"398,88"
Купол дома,нанести пропитку на обрешетку,6,м2,"23,976"
Внутренние стены дома,смонтировать утеплитель в стены,9,м3,"1166,4"
Внутренние стены дома,смонтировать мембрану на стены,75,м2,"174,6"
Внутренние стены дома,обшить вагонкой стены,40,м2,"638,4"
Отопление,установка кандиционера,1,шт,888
Отопление,установка камина,1,шт,360
Отопление,установка конвекторов,2,шт,480
Итого общее:, ,,,"15609,096"
