группа,п/п,задача,кол-во,ед. изм.,"План+15%, $"
1 Санузел,1.1,переустановить раковину,1,шт,57
1 Санузел,1.5,бойлер,1,шт,504
1 Санузел,1.6,душевой уголок,1,шт,600
2 Электрошкаф/серверная,2.1,установка серверного шкафа,1,шт,351
2 Электрошкаф/серверная,2.2,заливка основания под серверный шкаф,"0,3",м3,26
2 Электрошкаф/серверная,2.3,Подключить дополнительные автоматы,6,шт,125
2 Электрошкаф/серверная,2.4,подключить умное освещение,3,шт,263
2 Электрошкаф/серверная,2.5,переустановить электроящик,1,шт,113
3 Электричество,3.1,кабель для розеток/света/отопления,90,м,168
3 Электричество,3.3,установить розетки,19,шт,252
4 Водопровод,4.1,утеплить и звукоизолировать скважину,9,м2,329
4 Водопровод,4.2,Закрепить трубы водопровода,15,м,155
4 Водопровод,4.4,установить быстросъем и слив для насоса,2,шт,102
5 Второй этаж,5.1,установить вытяжку на верху дома,1,шт,95
5 Второй этаж,5.2,смонтировать мембрану,10,м2,63
5 Второй этаж,5.3,уложить стружку и песок на второй этаж,2,м3,87
5 Второй этаж,5.4,уложить пол  второго этажа,12,м2,399
5 Второй этаж,5.5,закрепить обрешетку на потолке,20,м,146
5 Второй этаж,5.6,обшить потолок доской,12,м2,432
5 Второй этаж,5.7,пошлифовать каркас ,15,м2,85
5 Второй этаж,5.8,нанести пропитку на каркас,12,м2,77
9 Кровля дома,9.5,Сделать отмостку вокруг дома и веранды,35,м2,918
10 Купол дома,10.1,смонтировать утеплитель в куполе,11,м3,1715
10 Купол дома,10.3,обшить фанерой,55,м2,1032
10 Купол дома,10.4,покрыть фанеру белой пропиткой,55,м2,277
11 Внутренние стены дома,11.1,смонтировать утеплитель в стены,11,м3,1564
Итого общее:,,,,,9935
