группа,задача,кол-во,ед. изм.,"план+20%, $"
Окна санузел,сделать откосы,1,шт,51
Окна санузел,установить подоконник,1,шт,67
Окна санузел,монтаж окна,1,шт,359
Первый этаж,уложить стружку и вермикулит,6,м3,443
Первый этаж,смонтировать мембрану пола первого этажа,30,м2,85
Первый этаж,смонтировать подшивку из фанеры,30,м2,339
Первый этаж,смонтировать чистовой пол первого этажа,30,м2,869
Второй этаж,сделать постоянную лестницу,14,ст,199
Второй этаж,сделать перила для лестницы,2,шт,235
Санузел,установить бойлер,1,шт,504
Санузел,установить стиральную машину,1,шт,534
Санузел,душевой уголок,1,шт,600
Умный дом,установить датчики температуры и влаги,3,шт,240
Умный дом,автоматические розетки,2,шт,266
Итого общее:, ,,,4947
