группа,задача,кол-во,ед. изм.,"план+20%, $","расход, $","перерасход, $","готовность, %"
Санузел,герметизация швов и щелей,"40,0",м,"115,9","60,0","-55,9",100%
Первый этаж,герметизация швов и щелей,"80,0",м,"231,8","117,0","-114,8",100%
Окна санузел,сделать откосы,"1,0",шт,"51,1","15,0","-36,1",100%
Окна санузел,установить подоконник,"1,0",шт,"65,6","0,0","-65,6",0%
Окна санузел,монтаж окна,"1,0",шт,"358,8","321,0","-37,8",100%
Входная дверь,переустановка без порога,"1,0",шт,"84,3","5,0","-79,3",100%
Входная дверь,откосы из металла,"1,0",шт,"96,0","10,0","-86,0",100%
Орг расход этап3,,,,,"150,0","150,0",100%
материалы,для этап4,,,,"220,0","220,0",100%
Итого общее:, ,,,"1003,5","898,0","-105,5",93%
